Weekday,Month,Day,Date,Price,Open,High,Low,Vol.,Change %,Volume
SAT,12,31,12/31/22,21078000,21092000,21213000,20968000,0.58K,-0.07%,580
FRI,12,30,12/30/22,21092000,21200000,21207000,20748000,0.66K,-0.50%,660
THUR,12,29,12/29/22,21198000,21048000,21289000,20904000,0.70K,0.70%,700
WED,12,28,12/28/22,21051000,21325000,21372000,21000000,0.82K,-1.29%,820
TUE,12,27,12/27/22,21326000,21683000,21728000,21243000,0.66K,-1.64%,660
MON,12,26,12/26/22,21682000,21824000,21831000,21571000,0.63K,-0.66%,630
SUN,12,25,12/25/22,21825000,21945000,21961000,21760000,0.59K,-0.53%,590
SAT,12,24,12/24/22,21942000,21851000,21997000,21849000,0.54K,0.43%,540
FRI,12,23,12/23/22,21849000,21878000,21999000,21749000,0.60K,-0.13%,600
THUR,12,22,12/22/22,21878000,21917000,21969000,21642000,0.93K,-0.18%,930
WED,12,21,12/21/22,21917000,22008000,22057000,21850000,0.71K,-0.43%,710
TUE,12,20,12/20/22,22012000,21645000,22200000,21577000,0.75K,1.69%,750
MON,12,19,12/19/22,21647000,22220000,22243000,21526000,1.27K,-2.63%,1270
SUN,12,18,12/18/22,22232000,22247000,22300000,22129000,0.12K,-0.07%,120
SAT,12,17,12/17/22,22248000,22240000,22365000,21976000,0.72K,0.06%,720
FRI,12,16,12/16/22,22234000,22954000,23009000,22127000,1.40K,-3.12%,1400
THUR,12,15,12/15/22,22950000,23262000,23368000,22865000,0.89K,-1.32%,890
WED,12,14,12/14/22,23256000,23167000,23908000,23152000,1.37K,0.36%,1370
TUE,12,13,12/13/22,23172000,22833000,23516000,22562000,0.99K,1.48%,990
MON,12,12,12/12/22,22835000,22770000,22873000,22475000,0.74K,0.28%,740
SUN,12,11,12/11/22,22772000,22826000,22903000,22751000,0.69K,-0.25%,690
SAT,12,10,12/10/22,22828000,22854000,22918000,22809000,0.68K,-0.11%,680
FRI,12,9,12/9/22,22854000,22905000,23000000,22737000,0.73K,-0.23%,730
THUR,12,8,12/8/22,22907000,22540000,22994000,22467000,0.93K,1.64%,930
WED,12,7,12/7/22,22538000,22821000,22882000,22385000,0.71K,-1.24%,710
TUE,12,6,12/6/22,22821000,22736000,22866000,22695000,0.79K,0.35%,790
MON,12,5,12/5/22,22741000,22913000,23149000,22686000,0.97K,-0.79%,970
SUN,12,4,12/4/22,22923000,22827000,23006000,22752000,0.73K,0.42%,730
SAT,12,3,12/3/22,22827000,22883000,22962000,22739000,0.66K,-0.24%,660
FRI,12,2,12/2/22,22883000,23006000,23041000,22633000,0.69K,-0.54%,690
THUR,12,1,12/1/22,23008000,23216000,23315000,22872000,0.93K,-0.90%,930
WED,11,30,11/30/22,23217000,22416000,23284000,22402000,1.35K,3.59%,1350
TUE,11,29,11/29/22,22413000,22319000,22588000,22150000,0.90K,0.42%,900
MON,11,28,11/28/22,22319000,22646000,22682000,22161000,1.23K,-1.46%,1230
SUN,11,27,11/27/22,22650000,22664000,22780000,22602000,2.17K,-0.06%,2170
SAT,11,26,11/26/22,22664000,22673000,22877000,22600000,1.34K,-0.04%,1340
FRI,11,25,11/25/22,22673000,22716000,22814000,22328000,0.72K,-0.18%,720
THUR,11,24,11/24/22,22715000,22951000,23196000,22567000,0.87K,-1.06%,870
WED,11,23,11/23/22,22959000,22550000,23100000,22489000,0.94K,1.81%,940
TUE,11,22,11/22/22,22550000,22193000,22698000,21999000,0.58K,1.59%,580
MON,11,21,11/21/22,22198000,22775000,22812000,21896000,1.09K,-2.53%,1090
SUN,11,20,11/20/22,22775000,23051000,23088000,22650000,0.53K,-1.20%,530
SAT,11,19,11/19/22,23051000,22989000,23157000,22955000,0.26K,0.22%,260
FRI,11,18,11/18/22,23001000,23085000,23127000,22869000,0.39K,0.43%,390
THUR,11,17,11/17/22,22903000,22979000,23019000,22584000,0.48K,0.40%,480
WED,11,16,11/16/22,22811000,22990000,23133000,22535000,0.53K,-0.78%,530
TUE,11,15,11/15/22,22990000,22680000,23202000,22528000,0.76K,1.37%,760
MON,11,14,11/14/22,22679000,22475000,23427000,21533000,0.99K,0.90%,990
SUN,11,13,11/13/22,22476000,23355000,23486000,22458000,1.36K,-3.76%,1360
SAT,11,12,11/12/22,23355000,23668000,23769000,23077000,0.44K,-1.29%,440
FRI,11,11,11/11/22,23661000,24783000,24938000,22936000,1.19K,-4.50%,1190
THUR,11,10,11/10/22,24776000,22960000,25137000,22840000,1.98K,8.04%,1980
WED,11,9,11/9/22,22932000,26645000,26813000,22500000,4.43K,-13.94%,4430
TUE,11,8,11/8/22,26645000,28982000,29024000,26000000,3.92K,-8.06%,3920
MON,11,7,11/7/22,28982000,29454000,29676000,28810000,0.78K,-1.61%,780
SUN,11,6,11/6/22,29455000,29775000,29872000,29429000,0.61K,-1.05%,610
SAT,11,5,11/5/22,29768000,29393000,29922000,29335000,0.41K,1.25%,410
FRI,11,4,11/4/22,29401000,28737000,29670000,28715000,0.79K,2.31%,790
THUR,11,3,11/3/22,28737000,28670000,28874000,28475000,0.42K,0.23%,420
WED,11,2,11/2/22,28670000,28762000,29300000,28550000,1.13K,-0.34%,1130
TUE,11,1,11/1/22,28767000,28769000,28895000,28642000,0.41K,-0.07%,410
MON,10,31,10/31/22,28788000,28971000,29219000,28520000,0.28K,-0.61%,280
SUN,10,30,10/30/22,28964000,29123000,29350000,28900000,0.37K,-0.52%,370
SAT,10,29,10/29/22,29116000,28939000,29472000,28900000,0.96K,0.61%,960
FRI,10,28,10/28/22,28940000,28572000,29167000,28340000,0.61K,1.29%,610
THUR,10,27,10/27/22,28572000,29087000,29187000,28490000,0.70K,-1.78%,700
WED,10,26,10/26/22,29089000,28465000,29428000,28432000,0.73K,2.19%,730
TUE,10,25,10/25/22,28465000,27775000,28861000,27610000,1.67K,2.48%,1670
MON,10,24,10/24/22,27775000,27993000,28062000,27613000,0.34K,-0.78%,340
SUN,10,23,10/23/22,27993000,27613000,28117000,27482000,0.54K,1.38%,540
SAT,10,22,10/22/22,27612000,27592000,27681000,27540000,0.12K,0.07%,120
FRI,10,21,10/21/22,27592000,27484000,27720000,27119000,0.40K,0.39%,400
THUR,10,20,10/20/22,27484000,27646000,27787000,27379000,0.61K,-0.59%,610
WED,10,19,10/19/22,27646000,27790000,27807000,27528000,0.25K,-0.52%,250
TUE,10,18,10/18/22,27791000,28023000,28160000,27518000,0.46K,-0.83%,460
MON,10,17,10/17/22,28023000,27680000,28170000,27482000,0.37K,1.24%,370
SUN,10,16,10/16/22,27680000,27548000,27895000,27482000,0.46K,0.48%,460
SAT,10,15,10/15/22,27548000,27652000,27708000,27441000,0.40K,-0.38%,400
FRI,10,14,10/14/22,27652000,27787000,28546000,27496000,0.56K,-0.54%,560
THUR,10,13,10/13/22,27802000,27459000,28051000,26400000,1.06K,1.20%,1060
WED,10,12,10/12/22,27472000,27351000,27517000,27200000,0.27K,0.43%,270
TUE,10,11,10/11/22,27354000,27429000,27685000,27120000,0.45K,-0.27%,450
MON,10,10,10/10/22,27429000,27677000,27819000,27358000,0.54K,-0.89%,540
SUN,10,9,10/9/22,27676000,27753000,27884000,27615000,0.37K,-0.28%,370
SAT,10,8,10/8/22,27753000,27789000,27924000,27602000,0.34K,-0.15%,340
FRI,10,7,10/7/22,27795000,28421000,28524000,27637000,0.74K,-2.20%,740
THUR,10,6,10/6/22,28421000,28715000,28908000,28295000,0.62K,-1.02%,620
WED,10,5,10/5/22,28715000,28985000,29040000,28304000,0.67K,-0.92%,670
TUE,10,4,10/4/22,28982000,28289000,29092000,28131000,0.66K,2.44%,660
MON,10,3,10/3/22,28293000,27698000,28330000,27601000,0.62K,2.19%,620
SUN,10,2,10/2/22,27687000,27890000,27972000,27500000,0.56K,-0.73%,560
SAT,10,1,10/1/22,27890000,27937000,28014000,27700000,0.35K,-0.17%,350
FRI,9,30,9/30/22,27937000,27996000,28835000,27600000,1.01K,-0.20%,1010
THUR,9,29,9/29/22,27993000,27946000,28242000,27250000,0.99K,0.17%,990
WED,9,28,9/28/22,27945000,27538000,28392000,26810000,1.23K,1.46%,1230
TUE,9,27,9/27/22,27542000,27610000,29098000,27127000,1.66K,-0.25%,1660
MON,9,26,9/26/22,27610000,27061000,27739000,26978000,0.59K,2.06%,590
SUN,9,25,9/25/22,27053000,27253000,27474000,26900000,0.60K,-0.73%,600
SAT,9,24,9/24/22,27253000,27577000,27597000,27080000,0.43K,-1.17%,430
FRI,9,23,9/23/22,27577000,27573000,27796000,26684000,0.90K,-0.03%,900
THUR,9,22,9/22/22,27584000,26569000,27700000,26457000,0.85K,3.82%,850
WED,9,21,9/21/22,26569000,26735000,28100000,26155000,1.82K,-0.62%,1820
TUE,9,20,9/20/22,26735000,27579000,27701000,26548000,0.88K,-3.06%,880
MON,9,19,9/19/22,27579000,27478000,27758000,26170000,0.88K,0.40%,880
SUN,9,18,9/18/22,27470000,28170000,28185000,27258000,0.95K,-2.50%,950
SAT,9,17,9/17/22,28175000,27915000,28334000,27866000,0.42K,0.93%,420
FRI,9,16,9/16/22,27915000,28008000,28123000,27410000,0.61K,-0.33%,610
THUR,9,15,9/15/22,28008000,28359000,28468000,27702000,0.85K,-1.20%,850
WED,9,14,9/14/22,28349000,28375000,28801000,27619000,1.10K,-0.09%,1100
TUE,9,13,9/13/22,28375000,30701000,31283000,28159000,1.22K,-7.58%,1220
MON,9,12,9/12/22,30701000,30048000,30897000,29801000,0.64K,2.19%,640
SUN,9,11,9/11/22,30044000,29768000,30045000,29518000,0.53K,0.93%,530
SAT,9,10,9/10/22,29768000,29369000,29897000,29000000,0.58K,1.36%,580
FRI,9,9,9/9/22,29369000,26866000,29600000,26846000,0.88K,9.27%,880
THUR,9,8,9/8/22,26878000,26784000,27034000,26600000,0.50K,0.35%,500
WED,9,7,9/7/22,26784000,26353000,27039000,26160000,0.74K,1.64%,740
TUE,9,6,9/6/22,26353000,27297000,27700000,26199000,1.31K,-3.46%,1310
MON,9,5,9/5/22,27297000,27525000,27582000,27187000,0.51K,-0.83%,510
SUN,9,4,9/4/22,27525000,27410000,27564000,27165000,0.22K,0.42%,220
SAT,9,3,9/3/22,27410000,27560000,27717000,27260000,0.21K,-0.54%,210
FRI,9,2,9/2/22,27560000,27592000,28012000,27313000,0.60K,-0.12%,600
THUR,9,1,9/1/22,27592000,27510000,27726000,27050000,0.53K,0.30%,530
WED,8,31,8/31/22,27510000,27261000,27922000,27256000,0.52K,0.91%,520
TUE,8,30,8/30/22,27261000,27793000,28135000,27124000,0.75K,-1.95%,750
MON,8,29,8/29/22,27804000,27067000,28046000,27063000,0.44K,2.72%,440
SUN,8,28,8/28/22,27067000,27738000,27873000,27050000,0.34K,-2.43%,340
SAT,8,27,8/27/22,27741000,27914000,28113000,27464000,0.39K,-0.62%,390
FRI,8,26,8/26/22,27914000,29264000,29615000,27765000,1.06K,-4.61%,1060
THUR,8,25,8/25/22,29264000,29086000,29500000,29000000,0.38K,0.61%,380
WED,8,24,8/24/22,29086000,29255000,29668000,28917000,0.44K,-0.58%,440
TUE,8,23,8/23/22,29255000,29238000,29508000,28609000,0.48K,0.06%,480
MON,8,22,8/22/22,29236000,29461000,29553000,28811000,0.77K,-0.80%,770
SUN,8,21,8/21/22,29471000,29350000,29641000,29009000,0.32K,0.41%,320
SAT,8,20,8/20/22,29350000,28588000,29419000,28564000,0.57K,2.67%,570
FRI,8,19,8/19/22,28588000,31713000,31720000,28549000,1.04K,-9.85%,1040
THUR,8,18,8/18/22,31713000,31559000,31756000,31435000,0.42K,0.49%,420
WED,8,17,8/17/22,31559000,32080000,32540000,31325000,0.61K,-1.62%,610
TUE,8,16,8/16/22,32080000,32434000,32592000,31820000,0.85K,-1.09%,850
MON,8,15,8/15/22,32434000,32601000,33456000,32116000,0.91K,-0.51%,910
SUN,8,14,8/14/22,32601000,32589000,33199000,32377000,0.72K,0.04%,720
SAT,8,13,8/13/22,32589000,32367000,32955000,32272000,0.64K,0.73%,640
FRI,8,12,8/12/22,32353000,31798000,32444000,31624000,0.99K,1.75%,990
THUR,8,11,8/11/22,31798000,31600000,32849000,31541000,0.85K,0.63%,850
WED,8,10,8/10/22,31600000,31019000,32015000,30500000,1.09K,1.87%,1090
TUE,8,9,8/9/22,31020000,31459000,31701000,30586000,0.49K,-1.40%,490
MON,8,8,8/8/22,31459000,30707000,31900000,30701000,5.64K,2.45%,5640
SUN,8,7,8/7/22,30707000,30490000,30893000,30450000,1.01K,0.71%,1010
SAT,8,6,8/6/22,30490000,30774000,30862000,30460000,0.62K,-0.92%,620
FRI,8,5,8/5/22,30774000,30310000,30965000,30250000,1.39K,1.53%,1390
THUR,8,4,8/4/22,30310000,30676000,31007000,30135000,1.27K,-1.23%,1270
WED,8,3,8/3/22,30689000,30772000,31416000,30447000,1.66K,-0.27%,1660
TUE,8,2,8/2/22,30772000,30862000,31075000,30195000,1.72K,-0.29%,1720
MON,8,1,8/1/22,30862000,30745000,31072000,30412000,1.24K,0.37%,1240
SUN,7,31,7/31/22,30749000,31272000,31790000,30729000,1.60K,-1.64%,1600
SAT,7,30,7/30/22,31263000,31423000,32485000,31191000,1.66K,-0.49%,1660
FRI,7,29,7/29/22,31416000,31234000,31925000,30927000,1.78K,0.58%,1780
THUR,7,28,7/28/22,31235000,30187000,31582000,29830000,2.11K,3.47%,2110
WED,7,27,7/27/22,30187000,28385000,30465000,28148000,2.73K,6.37%,2730
TUE,7,26,7/26/22,28380000,28508000,28550000,27692000,1.67K,-0.45%,1670
MON,7,25,7/25/22,28508000,29818000,29918000,28435000,2.05K,-4.39%,2050
SUN,7,24,7/24/22,29818000,29716000,30219000,29505000,1.38K,0.30%,1380
SAT,7,23,7/23/22,29729000,30058000,30279000,29185000,0.99K,-1.09%,990
FRI,7,22,7/22/22,30058000,30438000,31200000,29860000,1.95K,-1.25%,1950
THUR,7,21,7/21/22,30438000,30496000,30847000,29583000,2.29K,-0.14%,2290
WED,7,20,7/20/22,30482000,30702000,31798000,30160000,2.71K,-0.72%,2710
TUE,7,19,7/19/22,30702000,29407000,31093000,28480000,3.14K,4.40%,3140
MON,7,18,7/18/22,29408000,27494000,29664000,27450000,2.67K,7.01%,2670
SUN,7,17,7/17/22,27482000,27865000,28455000,27425000,1.20K,-1.37%,1200
SAT,7,16,7/16/22,27865000,27608000,28397000,27117000,1.34K,0.99%,1340
FRI,7,15,7/15/22,27593000,27117000,27778000,26891000,6.39K,1.80%,6390
THUR,7,14,7/14/22,27106000,26628000,27500000,26084000,2.52K,1.80%,2520
WED,7,13,7/13/22,26628000,25704000,26698000,25207000,2.20K,3.59%,2200
TUE,7,12,7/12/22,25704000,26450000,26529000,25608000,2.01K,-2.82%,2010
MON,7,11,7/11/22,26450000,27326000,27337000,26406000,1.72K,-3.21%,1720
SUN,7,10,7/10/22,27326000,28207000,28216000,27166000,1.60K,-3.12%,1600
SAT,7,9,7/9/22,28207000,28268000,28618000,27952000,1.38K,-0.22%,1380
FRI,7,8,7/8/22,28268000,28138000,29003000,27773000,3.16K,0.45%,3160
THUR,7,7,7/7/22,28141000,26947000,28350000,26577000,2.77K,4.43%,2770
WED,7,6,7/6/22,26947000,26534000,27039000,26119000,1.62K,1.56%,1620
TUE,7,5,7/5/22,26534000,26424000,27247000,25530000,1.95K,0.42%,1950
MON,7,4,7/4/22,26424000,25432000,26540000,25102000,1.19K,3.90%,1190
SUN,7,3,7/3/22,25432000,25433000,25870000,24973000,0.55K,0.00%,550
SAT,7,2,7/2/22,25432000,25536000,25663000,25162000,0.36K,-0.42%,360
FRI,7,1,7/1/22,25539000,26000000,27162000,25071000,0.83K,-1.80%,830
THUR,6,30,6/30/22,26008000,26528000,26591000,24641000,1.59K,-1.96%,1590
WED,6,29,6/29/22,26528000,26560000,26750000,26130000,1.04K,-0.11%,1040
TUE,6,28,6/28/22,26558000,27030000,27421000,26425000,1.07K,-1.72%,1070
MON,6,27,6/27/22,27024000,27429000,27850000,26813000,0.69K,-1.51%,690
SUN,6,26,6/26/22,27438000,27849000,28325000,27396000,1.08K,-1.48%,1080
SAT,6,25,6/25/22,27849000,27611000,27963000,27256000,0.86K,0.90%,860
FRI,6,24,6/24/22,27601000,27407000,27905000,26934000,1.23K,0.71%,1230
THUR,6,23,6/23/22,27407000,26156000,27467000,26074000,1.31K,4.77%,1310
WED,6,22,6/22/22,26158000,26995000,27190000,25963000,1.67K,-3.10%,1670
TUE,6,21,6/21/22,26995000,26638000,27976000,26482000,1.42K,1.34%,1420
MON,6,20,6/20/22,26638000,26656000,27171000,25600000,1.89K,-0.13%,1890
SUN,6,19,6/19/22,26674000,25027000,26955000,23764000,2.39K,6.57%,2390
SAT,6,18,6/18/22,25030000,26971000,27318000,23796000,3.32K,-7.16%,3320
FRI,6,17,6/17/22,26961000,26807000,27872000,26543000,0.86K,0.57%,860
THUR,6,16,6/16/22,26807000,29199000,29588000,26612000,2.17K,-8.19%,2170
WED,6,15,6/15/22,29199000,28825000,29477000,26612000,3.71K,1.30%,3710
TUE,6,14,6/14/22,28825000,29306000,30121000,27261000,1.89K,-1.65%,1890
MON,6,13,6/13/22,29308000,34624000,35025000,28734000,3.23K,-15.37%,3230
SUN,6,12,6/12/22,34629000,37062000,37164000,34617000,1.19K,-6.56%,1190
SAT,6,11,6/11/22,37062000,37652000,37933000,36626000,0.95K,-1.62%,950
FRI,6,10,6/10/22,37671000,38252000,38527000,37443000,0.79K,-1.48%,790
THUR,6,9,6/9/22,38238000,38508000,38823000,38117000,0.43K,-0.70%,430
