Date,Open,High,Low,Close,Adj Close,Volume
2000-11-01,762.000000,834.400024,647.599976,672.599976,672.599976,6000100
2000-12-01,640.799988,716.900024,516.500000,525.799988,525.799988,4825700
2001-01-01,502.500000,859.200012,502.500000,843.599976,843.599976,9150500
2001-02-01,824.200012,896.099976,756.000000,767.599976,767.599976,9911600
2001-03-01,764.099976,781.400024,667.799988,684.299988,684.299988,7322200
2001-04-01,684.799988,789.700012,641.799988,789.700012,789.700012,6992400
2001-05-01,813.599976,858.900024,783.599976,813.500000,813.500000,10263700
2001-06-01,818.900024,827.799988,733.000000,768.700012,768.700012,7168400
2001-07-01,772.000000,781.099976,612.799988,680.900024,680.900024,6757800
2001-08-01,687.400024,722.099976,611.599976,618.400024,618.400024,6322700
2001-09-01,619.000000,633.500000,456.700012,516.400024,516.400024,5691600
2001-10-01,543.299988,649.099976,522.799988,625.500000,625.500000,8325500
2001-11-01,629.099976,740.099976,627.000000,705.200012,705.200012,9516900
2001-12-01,704.299988,758.599976,669.200012,722.099976,722.099976,6964700
2002-01-01,732.400024,808.599976,709.599976,773.599976,773.599976,7680400
2002-02-01,775.599976,787.799988,722.500000,787.099976,787.099976,5335400
2002-03-01,807.900024,964.599976,806.500000,927.299988,927.299988,9709000
2002-04-01,922.799988,924.400024,727.000000,733.400024,733.400024,7809300
2002-05-01,748.299988,803.099976,696.599976,697.799988,697.799988,7238300
2002-06-01,695.500000,724.000000,562.299988,608.500000,608.500000,4058800
2002-07-01,586.900024,679.000000,571.200012,586.200012,586.200012,6683000
2002-08-01,587.099976,606.500000,536.599976,591.099976,591.099976,5934700
2002-09-01,592.799988,599.000000,463.000000,467.100006,467.100006,4747700
2002-10-01,455.600006,502.600006,430.799988,480.500000,480.500000,5805500
2002-11-01,478.000000,519.200012,465.899994,519.000000,519.000000,6005000
2002-12-01,522.700012,539.599976,433.100006,443.600006,443.600006,7174600
2003-01-01,448.299988,497.899994,424.700012,433.899994,433.899994,7364600
2003-02-01,432.700012,448.100006,411.399994,417.799988,417.799988,7040500
2003-03-01,416.600006,420.799988,344.600006,377.700012,377.700012,7133500
2003-04-01,372.700012,454.899994,372.299988,428.000000,428.000000,9798300
2003-05-01,432.500000,484.200012,423.299988,471.799988,471.799988,8693600
2003-06-01,478.200012,512.500000,465.799988,497.500000,497.500000,10460400
2003-07-01,498.200012,542.000000,479.500000,493.299988,493.299988,10922900
2003-08-01,497.000000,498.299988,477.600006,495.399994,495.399994,7896500
2003-09-01,500.899994,514.400024,445.000000,448.600006,448.600006,7171100
2003-10-01,442.500000,484.200012,442.500000,463.799988,463.799988,7497800
2003-11-01,463.899994,475.200012,438.100006,458.399994,458.399994,7871400
2003-12-01,461.600006,477.700012,428.899994,448.700012,448.700012,8984000
2004-01-01,452.700012,462.600006,438.730011,441.450012,441.450012,6112000
2004-02-01,443.140015,449.540009,424.230011,428.679993,428.679993,7706000
2004-03-01,431.160004,443.890015,401.160004,434.160004,434.160004,7045900
2004-04-01,435.709991,496.350006,435.600006,453.470001,453.470001,7720200
2004-05-01,450.459991,461.679993,365.929993,400.920013,400.920013,5724800
2004-06-01,402.500000,413.029999,361.160004,385.179993,385.179993,5564100
2004-07-01,387.450012,389.250000,327.829987,331.209991,331.209991,5783800
2004-08-01,329.839996,360.440002,320.540009,355.660004,355.660004,5635300
2004-09-01,357.339996,377.970001,357.339996,362.079987,362.079987,4569700
2004-10-01,362.970001,375.489990,349.709991,357.040009,357.040009,4139700
2004-11-01,357.230011,377.350006,357.230011,373.429993,373.429993,4855700
2004-12-01,373.929993,384.720001,369.809998,380.329987,380.329987,6583300
