Year,Month,Date,Open,High,Low,Close,Adj Close,Volume
1997,1,1/1/97,647.669983,721.789978,600.559998,685.840027,685.840027,705400
1997,2,2/1/97,682.26001,726.130005,664.75,676.530029,676.530029,634200
1997,3,3/1/97,677.179993,685.950012,607.869995,677.340027,677.340027,735200
1997,4,4/1/97,678.969971,710.669983,668.719971,703.22998,703.22998,898700
1997,5,5/1/97,704.77002,752.289978,667.659973,746.359985,746.359985,963800
1997,6,6/1/97,758.919983,799.539978,737.97998,745.400024,745.400024,1081900
1997,7,7/1/97,744.97998,783.23999,721.400024,726.119995,726.119995,837200
1997,8,8/1/97,726.840027,766.700012,688.27002,695.369995,695.369995,672700
1997,9,9/1/97,691.799988,705.200012,622.030029,647.109985,647.109985,578000
1997,10,10/1/97,646.859985,655.039978,462.829987,470.790009,470.790009,839100
1997,11,11/1/97,472.350006,565.159973,391.130005,407.859985,407.859985,1148900
1997,12,12/1/97,405.519989,443.51001,338.940002,376.309998,376.309998,1474200
1998,1,1/1/98,374.410004,587.98999,372.369995,567.380005,567.380005,1879200
1998,2,2/1/98,556.580017,566.23999,462.26001,558.97998,558.97998,1691000
1998,3,3/1/98,562.659973,591.700012,479.519989,481.040009,481.040009,1636800
1998,4,4/1/98,482.880005,498.709991,399.480011,421.220001,421.220001,1114400
1998,5,5/1/98,401.529999,401.529999,301.220001,336.630005,336.630005,1131500
1998,6,6/1/98,334.100006,353.290009,277.369995,297.880005,297.880005,1522000
1998,7,7/1/98,298.01001,374.079987,298.01001,343.329987,343.329987,2056900
1998,8,8/1/98,336.119995,338.709991,288.059998,310.160004,310.160004,1639100
1998,9,9/1/98,309.73999,338.950012,287.459991,310.320007,310.320007,1638400
1998,10,10/1/98,309.519989,394.589996,302.709991,384.75,384.75,2236900
1998,11,11/1/98,406.970001,467.130005,393.980011,451.880005,451.880005,3849500
1998,12,12/1/98,451.850006,599.320007,438.420013,562.460022,562.460022,5313600
1999,1,1/1/99,575.409973,651.950012,531.200012,571.429993,571.429993,5018500
1999,2,2/1/99,572.950012,583.26001,489.75,520.059998,520.059998,2386600
1999,3,3/1/99,524.97998,622.909973,524.940002,618.97998,618.97998,4117700
1999,4,4/1/99,618.340027,806.409973,616.840027,752.590027,752.590027,6677800
1999,5,5/1/99,757.599976,826.039978,690.039978,736.02002,736.02002,5037800
1999,6,6/1/99,733.280029,909.330017,728.340027,883,883,5271700
1999,7,7/1/99,894.400024,1052.599976,860.130005,969.719971,969.719971,8337200
1999,8,8/1/99,967.700012,995.080017,841.27002,937.880005,937.880005,6645300
1999,9,9/1/99,944.5,984.570007,836.179993,836.179993,836.179993,5409300
1999,10,10/1/99,838.650024,877.059998,778.900024,833.51001,833.51001,5916800
1999,11,11/1/99,863.5,1024.089966,857.090027,996.659973,996.659973,8532800
1999,12,12/1/99,992.619995,1038.040039,934.219971,1028.069946,1028.069946,5999900
2000,1,1/1/00,1028.329956,1066.180054,875.820007,943.880005,943.880005,4798400
2000,2,2/1/00,955.440002,991.710022,810.530029,828.380005,828.380005,5144500
2000,3,3/1/00,864.780029,928.549988,820.299988,860.940002,860.940002,6536400
2000,4,4/1/00,866.75,880.409973,688.359985,725.390015,725.390015,4113400
2000,5,5/1/00,731.76001,778.460022,625.140015,731.880005,731.880005,4940500
2000,6,6/1/00,730.549988,858.340027,722.23999,821.219971,821.219971,8784000
2000,7,7/1/00,824.830017,863.530029,678.349976,705.969971,705.969971,8758600
2000,8,8/1/00,710.049988,754.460022,665.630005,688.619995,688.619995,6026500
2000,9,9/1/00,690.929993,698.280029,551,613.219971,613.219971,5462500
2000,10,10/1/00,595.679993,616.219971,483.579987,514.47998,514.47998,6671400
2000,11,11/1/00,524.690002,581.469971,499.519989,509.230011,509.230011,7349000
2000,12,12/1/00,490.880005,560.159973,489.529999,504.619995,504.619995,5199300
2001,1,1/1/01,503.309998,627.450012,500.970001,617.909973,617.909973,9508000
2001,2,2/1/01,606.48999,620.780029,571.039978,578.099976,578.099976,7515600
2001,3,3/1/01,574.609985,579.280029,516.969971,523.219971,523.219971,7841600
2001,4,4/1/01,520.559998,581.630005,491.209991,577.359985,577.359985,7084800
2001,5,5/1/01,586.27002,633.159973,572.359985,612.159973,612.159973,11805500
2001,6,6/1/01,615.669983,623.369995,580.75,595.130005,595.130005,7277300
2001,7,7/1/01,593.030029,600.51001,512.780029,541.549988,541.549988,5648300
2001,8,8/1/01,546.299988,585.359985,542,545.109985,545.109985,9651500
2001,9,9/1/01,545.02002,559.169983,463.540009,479.679993,479.679993,12162100
2001,10,10/1/01,498.869995,550.929993,493.119995,537.809998,537.809998,10307000
2001,11,11/1/01,540.630005,680.909973,536.200012,643.890015,643.890015,16016800
2001,12,12/1/01,643.609985,715.929993,631.869995,693.700012,693.700012,11599300
2002,1,1/1/02,698,787.650024,690.359985,748.070007,748.070007,15760300
2002,2,2/1/02,757.070007,826.599976,718.859985,819.98999,819.98999,10888200
2002,3,3/1/02,842.210022,914.929993,815.539978,895.580017,895.580017,13127700
2002,4,4/1/02,900.469971,943.539978,829.159973,842.340027,842.340027,14740200
2002,5,5/1/02,855.409973,878.679993,794.919983,796.400024,796.400024,15248800
2002,6,6/1/02,793.530029,832.26001,699.150024,742.719971,742.719971,12999300
2002,7,7/1/02,722.580017,807.359985,688.679993,717.98999,717.98999,30546200
2002,8,8/1/02,720.98999,753.5,660.940002,736.400024,736.400024,23262300
2002,9,9/1/02,739.840027,755.440002,639.73999,646.419983,646.419983,13634200
2002,10,10/1/02,637.809998,682.809998,576.48999,658.919983,658.919983,22582100
2002,11,11/1/02,652.340027,725.599976,643.390015,724.799988,724.799988,20690300
2002,12,12/1/02,724.98999,737.700012,613.76001,627.549988,627.549988,15688600
2003,1,1/1/03,633.030029,679.299988,581.130005,591.859985,591.859985,12593300
2003,2,2/1/03,591.880005,619.450012,561.690002,575.429993,575.429993,11616700
2003,3,3/1/03,578.5,590.549988,512.299988,535.700012,535.700012,14942400
2003,4,4/1/03,529.070007,627.5,525.51001,599.349976,599.349976,15513400
2003,5,5/1/03,600.469971,637.190002,582.869995,633.419983,633.419983,9592400
2003,6,6/1/03,643.929993,690.700012,632.469971,669.929993,669.929993,9797300
2003,7,7/1/03,666.450012,724.530029,663.349976,713.52002,713.52002,12007900
2003,8,8/1/03,718.840027,765.27002,693.700012,759.469971,759.469971,9216200
2003,9,9/1/03,763.219971,775.880005,688.070007,697.52002,697.52002,8046800
2003,10,10/1/03,690.469971,793.349976,688.619995,782.359985,782.359985,10159900
2003,11,11/1/03,783.080017,818.340027,752.140015,796.179993,796.179993,11213400
2003,12,12/1/03,796.359985,824.26001,774.039978,810.710022,810.710022,9176700
2004,1,1/1/04,816.26001,873.609985,813.630005,848.5,848.5,7633200
2004,2,2/1/04,850.280029,890.51001,834.700012,883.419983,883.419983,9659600
2004,3,3/1/04,892.570007,910.669983,822.049988,880.5,880.5,9651900
2004,4,4/1/04,878.780029,939.52002,854.390015,862.840027,862.840027,8779500
2004,5,5/1/04,863.030029,876.299988,716.950012,803.840027,803.840027,6751000
2004,6,6/1/04,807.549988,820.869995,729.059998,785.789978,785.789978,8416200
2004,7,7/1/04,784.849976,792.77002,717.77002,735.340027,735.340027,7889000
2004,8,8/1/04,730.609985,815.049988,713.98999,803.570007,803.570007,6940600
2004,9,9/1/04,803.51001,863.190002,801.580017,835.090027,835.090027,7206400
2004,10,10/1/04,835.5,896.23999,801.01001,834.840027,834.840027,6807100
2004,11,11/1/04,832.52002,891.710022,831.320007,878.059998,878.059998,6406700
2004,12,12/1/04,874.469971,896.099976,838.099976,895.919983,895.919983,6710500
2005,1,1/1/05,896,934.099976,866.169983,932.700012,932.700012,8288900
2005,2,2/1/05,930.159973,1011.650024,918.440002,1011.359985,1011.359985,8563800
2005,3,3/1/05,1015.159973,1025.079956,946.409973,965.679993,965.679993,13025500
2005,4,4/1/05,963.780029,996.900024,902.880005,911.299988,911.299988,8541300
2005,5,5/1/05,916.47998,972.169983,910.719971,970.210022,970.210022,6670500
2005,6,6/1/05,964.080017,1010.909973,963.780029,1008.159973,1008.159973,8515400
2005,7,7/1/05,1003.559998,1113.430054,1002.380005,1111.290039,1111.290039,13622100
2005,8,8/1/05,1113.900024,1137.459961,1055.540039,1083.329956,1083.329956,9665700
2005,9,9/1/05,1093.469971,1238.719971,1092.140015,1221.01001,1221.01001,9193400
2005,10,10/1/05,1228.030029,1246.410034,1137.22998,1158.109985,1158.109985,9704300
2005,11,11/1/05,1165.77002,1300.880005,1165.310059,1297.439941,1297.439941,10318900
2005,12,12/1/05,1295.560059,1383.140015,1288.97998,1379.369995,1379.369995,10329300
2006,1,1/1/06,1383.319946,1426.209961,1285.630005,1399.829956,1399.829956,10209800
2006,2,2/1/06,1390.430054,1398.189941,1299.72998,1371.589966,1371.589966,7212400
2006,3,3/1/06,1377.459961,1379.300049,1296.780029,1359.599976,1359.599976,7134200
2006,4,4/1/06,1362.349976,1458.670044,1361.140015,1419.72998,1419.72998,6887100
2006,5,5/1/06,1419.640015,1464.699951,1295.469971,1317.699951,1317.699951,5300600
2006,6,6/1/06,1308.439941,1319.050049,1192.089966,1295.150024,1295.150024,4457300
2006,7,7/1/06,1294.569946,1316.119995,1231.050049,1297.819946,1297.819946,3764000
2006,8,8/1/06,1296.709961,1361.47998,1277.310059,1352.73999,1352.73999,4513400
2006,9,9/1/06,1354.77002,1378.98999,1323.900024,1371.410034,1371.410034,5243300
2006,10,10/1/06,1370.27002,1380.910034,1303.619995,1364.550049,1364.550049,4807200
2006,11,11/1/06,1372.030029,1434.849976,1363.709961,1432.209961,1432.209961,5149600
2006,12,12/1/06,1433.400024,1445.51001,1373.030029,1434.459961,1434.459961,4258000
2007,1,1/1/07,1438.890015,1439.709961,1345.079956,1360.22998,1360.22998,4240100
2007,2,2/1/07,1367.069946,1471.040039,1362.040039,1417.339966,1417.339966,4381400
2007,3,3/1/07,1407.189941,1459.689941,1375.839966,1452.550049,1452.550049,5811800
2007,4,4/1/07,1456.189941,1565.030029,1452.560059,1542.23999,1542.23999,7849500
2007,5,5/1/07,1550.390015,1702.01001,1546.599976,1700.910034,1700.910034,8742800
2007,6,6/1/07,1712.969971,1813.839966,1707.75,1743.599976,1743.599976,10039500
2007,7,7/1/07,1741.410034,2015.47998,1736.630005,1933.27002,1933.27002,10323800
2007,8,8/1/07,1920.069946,1928.640015,1626.869995,1873.23999,1873.23999,8622300
2007,9,9/1/07,1876.920044,1952.390015,1805.880005,1946.47998,1946.47998,6978100
2007,10,10/1/07,1948.780029,2070.860107,1875.22998,2064.850098,2064.850098,9678700
2007,11,11/1/07,2085.330078,2085.449951,1745.26001,1906,1906,7386800
2007,12,12/1/07,1907.949951,1972.369995,1808.859985,1897.130005,1897.130005,5452100
2008,1,1/1/08,1891.449951,1892.5,1570.869995,1624.680054,1624.680054,6330200
2008,2,2/1/08,1645.050049,1739.599976,1619.650024,1711.619995,1711.619995,5773500
2008,3,3/1/08,1676.300049,1709.310059,1537.530029,1703.98999,1703.98999,6081800
2008,4,4/1/08,1701.640015,1831.839966,1694.530029,1825.469971,1825.469971,6138500
2008,5,5/1/08,1851.640015,1901.130005,1791.400024,1852.02002,1852.02002,5927400
2008,6,6/1/08,1848.300049,1853.5,1669.689941,1674.920044,1674.920044,6315600
2008,7,7/1/08,1675.699951,1681.449951,1488.75,1594.670044,1594.670044,6807300
2008,8,8/1/08,1578.550049,1597.310059,1466.459961,1474.23999,1474.23999,4787300
2008,9,9/1/08,1453.140015,1503.829956,1366.880005,1448.060059,1448.060059,8267300
2008,10,10/1/08,1453.400024,1458.680054,892.159973,1113.060059,1113.060059,10083000
