,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
소비자물가지수,5.278,5.895,6.085,7.564,9.473,10.925,12.029,13.768,16.290,20.965,25.442,27.271,28.204,28.845,29.555,30.368,31.293,33.530,35.441,38.480,42.071,44.685,46.831,49.765,51.995,54.555,56.977,61.258,61.756,63.151,65.719,67.534,69.908,72.418,74.413,76.081,78.010,81.656,83.906,86.373,89.850,91.815,93.010,94.196,94.861,95.783,97.645,99.086,99.466,100.00,102.50
,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
생산자물가지수,8.20,9.35,10.00,14.21,17.97,20.15,21.97,24.54,29.13,40.49,48.74,51.02,51.11,51.48,51.94,51.18,51.41,52.81,53.59,55.83,58.46,59.73,60.64,62.28,65.19,67.31,69.86,78.39,76.76,78.35,77.98,77.76,79.45,84.27,86.06,86.85,88.09,95.63,95.42,99.06,105.71,106.44,104.74,104.18,100.00,98.18,101.57,103.48,103.50,103.03,109.60
,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1인당 국내총생산(명목, 원화표시) (만원)",10.5,12.7,16.2,22.8,29.9,40.4,51.1,68.0,86.3,104.2,128.3,145.7,170.6,194.5,216.0,249.9,292.4,347.3,390.6,467.8,560.1,634.4,713.2,834.4,969.1,"1,078.2","1,179.5","1,160.6","1,268.8","1,386.2","1,492.5","1,647.1","1,748.4","1,889.3","1,987.0","2,076.0","2,238.2","2,352.9","2,444.5","2,669.0","2,781.4","2,868.8","2,976.1","3,079.9","3,250.1","3,398.8","3,574.0","3,678.2","3,721.8","3,744.0","4,003.6"
"1인당 국민총소득(명목, 원화표시) (만원)",10.5,12.8,16.2,22.9,29.6,40.2,51.0,68.2,86.2,103.3,126.5,144.3,168.8,191.8,211.2,244.5,288.8,344.7,389.4,467.4,559.5,633.6,712.2,832.3,965.5,"1,074.4","1,173.1","1,145.6","1,254.8","1,376.9","1,482.4","1,641.0","1,742.3","1,886.1","1,973.0","2,070.0","2,232.6","2,353.5","2,440.7","2,673.0","2,798.6","2,898.8","2,995.1","3,094.8","3,260.2","3,411.2","3,588.6","3,693.0","3,753.9","3,776.6","4,048.2"
국내총생산(실질성장률) (%),10.5,7.2,14.9,9.5,7.8,13.2,12.3,11.0,8.7,-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12.0,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3.0,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.7,4.1
GDP 디플레이터 (2015=100),4.313,4.994,5.629,7.352,9.093,11.024,12.617,15.372,18.221,22.713,26.480,28.190,29.549,30.855,32.085,33.679,35.306,37.821,40.115,44.161,48.198,51.947,55.196,59.699,63.893,66.519,69.182,72.279,71.390,72.119,74.628,76.892,79.544,82.032,82.887,82.702,84.702,87.096,90.239,92.710,93.898,95.073,96.042,96.913,100.000,101.986,104.253,104.756,103.877,105.502,108.137
,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
수입물가기준 (원화기준),6.66,8.06,10.26,14.50,16.81,17.31,17.48,18.23,23.09,36.68,43.00,43.79,44.44,46.23,47.87,45.85,49.13,51.98,50.10,49.60,49.58,50.33,52.10,54.15,57.28,57.69,63.16,80.98,71.15,76.61,79.31,74.39,75.73,83.41,85.82,86.62,90.52,123.28,118.17,124.45,138.88,137.88,127.76,118.12,100.00,95.78,102.04,108.43,109.34,99.85,117.46
