학년도,PEET,PEET,공인영어,GPA,출신대학,전공계열,나이,Score,Percentage,TOEIC,GPA
2020,274~276점,385~389점,910~930점,95~98점,지방거점국립,생물,23~25세,275,387,920,96.5
2020,274~276점,390~394점,910~930점,95~98점,서성한,공학,22세이하,275,392,920,96.5
2020,274~276점,385~389점,830~850점,88~90점,지방거점국립,화학,23~25세,275,387,840,89
2020,271~273점,390~394점,870~890점,88~90점,건동홍숙,화학,22세이하,272,392,880,89
2020,271~273점,380~384점,810~830점,88~90점,지방거점국립,생물,26~28세,272,382,820,89
2021,271~273점,390~394점,930~950점,92~95점,지방거점국립,화학,22세이하,272,392,940,93.5
2020,268~270점,385~389점,930~950점,92~95점,지방거점국립,생물,23~25세,269,387,940,93.5
2020,268~270점,380~384점,890~910점,98점이상,지방거점국립,화학,22세이하,269,382,900,98
2020,268~270점,380~384점,950~970점,90~92점,지방거점국립,화학,23~25세,269,382,960,91
2020,268~270점,380~384점,930~950점,90~92점,중경외시이,화학,22세이하,269,382,940,91
2020,268~270점,385~389점,910~930점,85~88점,중경외시이,생물,26~28세,269,387,920,86.5
2021,268~270점,380~384점,830~850점,92~95점,지방거점국립,생물,23~25세,269,382,840,93.5
2021,268~270점,385~389점,930~950점,90~92점,지방거점국립,생물,23~25세,269,387,940,91
2020,265~267점,380~384점,950~970점,95~98점,지방거점국립,공학,22세이하,266,382,960,96.5
2020,265~267점,385~389점,930~950점,98점이상,그 외 대학,화학,23~25세,266,387,940,98
2020,265~267점,370~374점,930~950점,92~95점,지방거점국립,공학,22세이하,266,372,940,93.5
2020,265~267점,385~389점,930~950점,88~90점,건동홍숙,공학,23~25세,266,387,940,89
2020,265~267점,380~384점,930~950점,92~95점,지방거점국립,생물,22세이하,266,382,940,93.5
2020,265~267점,380~384점,930~950점,90~92점,지방거점국립,자연,23~25세,266,382,940,91
2021,265~267점,375~379점,930~950점,95~98점,지방거점국립,공학,23~25세,266,377,940,96.5
2021,265~267점,380~384점,890~910점,90~92점,중경외시이,생물,23~25세,266,382,900,91
2021,265~267점,380~384점,890~910점,92~95점,지방거점국립,화학,22세이하,266,382,900,93.5
2021,265~267점,380~384점,950~970점,90~92점,지방거점국립,공학,23~25세,266,382,960,91
2021,265~267점,375~379점,890~910점,92~95점,그 외 대학,생물,23~25세,266,377,900,93.5
2021,265~267점,385~389점,950~970점,90~92점,서포카,공학,32~34세,266,387,960,91
2020,262~264점,370~374점,930~950점,95~98점,지방거점국립,공학,23~25세,263,372,940,96.5
2020,262~264점,375~379점,930~950점,95~98점,그 외 대학,공학,22세이하,263,377,940,96.5
2020,262~264점,375~379점,930~950점,92~95점,그 외 대학,자율전공,23~25세,263,377,940,93.5
2020,262~264점,375~379점,930~950점,92~95점,지방거점국립,생물,23~25세,263,377,940,93.5
2020,262~264점,365~369점,870~890점,92~95점,지방거점국립,자연,22세이하,263,367,880,93.5
2020,262~264점,375~379점,910~930점,90~92점,지방거점국립,의학,23~25세,263,377,920,91
2020,262~264점,380~384점,870~890점,92~95점,지방거점국립,생물,22세이하,263,382,880,93.5
2020,262~264점,375~379점,890~910점,90~92점,지방거점국립,공학,22세이하,263,377,900,91
2020,262~264점,370~374점,870~890점,85~88점,지방거점국립,생물,23~25세,263,372,880,86.5
2021,262~264점,380~384점,950~970점,92~95점,연고,공학,23~25세,263,382,960,93.5
2021,262~264점,380~384점,970점이상,90~92점,지방거점국립,공학,26~28세,263,382,970,91
2021,262~264점,380~384점,930~950점,92~95점,지방거점국립,화학,22세이하,263,382,940,93.5
2021,262~264점,380~384점,890~910점,95~98점,지방거점국립,화학,23~25세,263,382,900,96.5
2021,262~264점,380~384점,950~970점,95~98점,지방거점국립,생물,22세이하,263,382,960,96.5
2021,262~264점,375~379점,910~930점,92~95점,지방거점국립,공학,32~34세,263,377,920,93.5
2021,262~264점,375~379점,930~950점,92~95점,지방거점국립,생물,23~25세,263,377,940,93.5
2021,262~264점,375~379점,930~950점,92~95점,중경외시이,생물,23~25세,263,377,940,93.5
2021,262~264점,375~379점,950~970점,95~98점,지방거점국립,자연,22세이하,263,377,960,96.5
2020,259~261점,365~369점,970점이상,92~95점,건동홍숙,화학,23~25세,260,367,970,93.5
2020,259~261점,365~369점,930~950점,92~95점,서성한,화학,22세이하,260,367,940,93.5
2020,259~261점,365~369점,910~930점,95~98점,지방거점국립,공학,23~25세,260,367,920,96.5
2021,259~261점,355~356점,930~950점,90~92점,그 외 대학,생물,23~25세,260,355.5,940,91
2021,259~261점,370~374점,890~910점,88~90점,지방거점국립,자연,23~25세,260,372,900,89
2020,256~258점,365~369점,870~890점,92~95점,지방거점국립,자연,22세이하,257,367,880,93.5
2020,250~252점,340~344점,870~890점,95~98점,지방거점국립,공학,22세이하,251,342,880,96.5
2020,247~249점,325~329점,870~890점,98점이상,지방거점국립,생물,22세이하,248,327,880,98
2020,244~246점,335~339점,770~790점,92~95점,지방거점국립,공학,22세이하,245,337,780,93.5
2020,238~240점,300~304점,890~910점,95~98점,지방거점국립,화학,23~25세,239,302,900,96.5
2021,238~240점,310~314점,910~930점,98점이상,지방거점국립,생물,22세이하,239,312,920,98
2021,235~237점,300~304점,750점미만,95~98점,지방거점국립,화학,22세이하,236,302,750,96.5
2020,232~234점,300~304점,910~930점,95~98점,지방거점국립,화학,22세이하,233,302,920,96.5
2021,232~234점,300~304점,890~910점,98점이상,지방거점국립,화학,22세이하,233,302,900,98
2020,229~231점,285~289점,850~870점,98점이상,지방거점국립,화학,22세이하,230,287,860,98
2020,229~231점,295~299점,910~930점,98점이상,연고,공학,22세이하,230,297,920,98
2021,229~231점,285~289점,830~850점,95~98점,연고,생물,22세이하,230,287,840,96.5
2020,229~231점,285~289점,970점이상,92~95점,서성한,생물,22세이하,230,287,970,93.5
2021,223~225점,275~279점,970점이상,95~98점,중경외시이,생물,22세이하,224,277,970,96.5
2020,223~225점,270~274점,970점이상,92~95점,연고,공학,22세이하,224,272,970,93.5
2020,220점미만,270점미만,750~770점,95~98점,중경외시이,생물,22세이하,220,270,760,96.5
2021,220점미만,270점미만,950~970점,98점이상,중경외시이,화학,22세이하,220,270,960,98
2021,220점미만,270점미만,950~970점,98점이상,중경외시이,화학,22세이하,220,270,960,98
2020,220점미만,270점미만,970점이상,95~98점,연고,생물,22세이하,220,270,970,96.5
2021,220점미만,270점미만,910~930점,95~98점,서성한,공학,22세이하,220,270,920,96.5
